"","occurrences","deaths","injured","affected","homeless","total.affected","total.damage","country.names","location.lon","location.lat"
"158",9,6,0,12880,1400,14280,684900,"Saint Kitts and Nevis",-62.782998,17.357822
"159",19,44,0,276759,10350,287109,139245,"Saint Lucia",-60.978893,13.909444
"160",19,1710,59,68132,1300,69491,180100,"Saint Vincent and the Grenadines",-61.1971628,13.2528179
"161",14,451,314,369977,28000,398291,816128,"Samoa",-172.104629,-13.759029
"162",4,206,0,95412,0,95412,0,"Sao Tome and Principe",6.613081,0.18636
"163",22,614,97,16127,15000,31224,1650000,"Saudi Arabia",45.079162,23.885942
"164",50,1537,164,10306788,64992,10371944,429235,"Senegal",-14.452362,14.497401
"165",21,90,620,206754,1470,208844,2280522,"Serbia",21.005859,44.016521
"166",16,21,170,116803,18226,135199,0,"Serbia Montenegro",19.2725904,42.4417823
"167",7,8,1064,25581,180,26825,41000,"Seychelles",55.491977,-4.679574
"168",29,5625,14147,291948,2257,308352,3600,"Sierra Leone",-11.779889,8.460555
"169",3,36,0,2238,0,2238,0,"Singapore",103.819836,1.352083
"170",19,201,174,57537,1697,59408,785600,"Slovakia",19.699024,48.669026
"171",9,299,5,65150,1750,66905,752000,"Slovenia",14.995463,46.151241
"172",36,764,372022,366779,62940,801741,44000,"Solomon Islands",160.156194,-9.64571
"173",88,49063,315,21570262,506200,22076777,100020,"Somalia",46.199616,5.152149
"174",97,2166,2424,21460047,52435,21514906,5930070,"South Africa",22.937506,-30.559482
"175",17,379,814,5450512,0,5451326,0,"South Sudan",31.3069788,6.8769919
"176",84,17252,2513,6823895,21000,6847408,27525297,"Spain",-3.74922,40.463667
"177",97,39284,29354,24013762,4520065,28563181,4516364,"Sri Lanka",80.771797,7.873054
"178",92,162733,20052,32975957,1453480,34449489,558200,"Sudan ",30.217636,12.862807
"179",3,5,0,36148,0,36148,50,"Suriname",-56.027783,3.919305
"180",15,709,0,2549502,760,2550262,55941,"Swaziland",31.465866,-26.522503
"181",13,42,50,350,0,400,3156800,"Sweden",18.643501,60.128161
"182",55,1379,97,9592,0,9689,8199760,"Switzerland",8.227512,46.818188
"183",12,219,3875,1803165,75000,1882040,44000,"Syrian Arab Republic",38.996815,34.802075
"184",106,22015,22151,3795814,128800,3946765,21509712,"Taiwan ",120.960515,23.69781
"185",64,2203,522,6700392,73666,6774580,1803384,"Tajikistan",71.276093,38.861034
"186",103,10008,58290,13886088,120755,14065133,465790,"Tanzania, United Republic of",34.888822,-6.369028
"187",132,14873,12719,90597408,323478,90933605,47787747,"Thailand",100.992541,15.870032
"188",11,29,200,133571,2000,135771,4000,"Timor-Leste",125.727539,-8.874217
"189",27,1188,495,1063416,89874,1153785,700,"Togo",0.824782,8.619543
"190",6,0,1,1700,157,1858,2900,"Tokelau",-171.8484,-9.2002
"191",19,24,48,153763,50700,204511,122900,"Tonga",-175.198242,-21.178986
"192",13,47,2,52960,225,53187,64127,"Trinidad and Tobago",-61.222503,10.691803
"193",20,975,8,584159,2500,586667,440800,"Tunisia",9.537499,33.886917
"194",160,92121,98676,7556297,1297026,8951999,26910100,"Turkey",35.243322,38.963745
"195",2,11,0,300,120,420,99870,"Turkmenistan",59.556278,38.969719
"196",6,4,0,2470,0,2470,500005,"Turks and Caicos Islands ",-71.797928,21.694025
"197",7,6,0,5613,550,6163,0,"Tuvalu",178.679924,-7.4784205
"198",81,204716,1820,6143957,325043,6470820,77471,"Uganda",32.290275,1.373333
"199",31,1408,13642,2810369,27602,2851613,3349614,"Ukraine",31.16558,48.379433
"200",89,5740,72,737359,30000,767431,37387180,"United Kingdom of Great Britain and Northern Irela",-6.4923145,54.7877149
"201",953,44195,28264,27566354,532727,28127345,810291110,"United States of America ",-95.712891,37.09024
"202",27,44,262,238144,16800,255206,364000,"Uruguay",-55.765835,-32.522779
"203",7,87,0,651648,400,652048,50000,"Uzbekistan",64.585262,41.377491
"204",44,339,135,507505,15895,523535,654650,"Vanuatu",166.959158,-15.376706
"205",54,31284,6276,921029,179358,1106663,3639426,"Venezuela ",-66.58973,6.42375
"206",201,26310,13818,82674530,4761050,87449398,11452482,"Viet Nam",108.277199,14.058324
"207",2,0,3,0,0,3,12000,"Virgin Island ",-64.830278,18.093611
"208",6,10,0,2000,18000,20000,1237800,"Virgin Island ",-64.830278,18.093611
"209",5,6,22,5750,0,5772,0,"Wallis and Futuna",-178.1165,-14.2938
"210",37,1073,270,383141,208450,591861,1711500,"Yemen",48.516388,15.552727
"211",22,1432,20059,831074,140400,991533,3534300,"Yugoslavia",4.3177387,52.1055959
"212",44,1324,913,9386744,31150,9418807,20900,"Zambia",27.849332,-13.133897
"213",45,6653,13,19413440,66475,19479928,348700,"Zimbabwe",29.154857,-19.015438
